"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@Socceroos @MatyRyan Why bloody Argentina",FALSE,0,"Socceroos",2022-12-01 05:41:40,FALSE,"1598058266269216768","1598190574787448832","110855776","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","50rass",0,FALSE,FALSE,NA,NA
"Australia Socceroo is going to vs Argentina on Sunday 4 Dec 6:00 am Eastern Australia time.
Hope Australia Win",FALSE,0,NA,2022-12-01 05:41:39,FALSE,NA,"1598190569338990592",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","cason_wong",0,FALSE,FALSE,NA,NA
"RT @PereEgbi: Everyone in Group C at the FIFA World Cup Qatar 2022 defeated Saudi Arabia except Argentina and Argentina defeated everyone e…",FALSE,0,NA,2022-12-01 05:41:38,FALSE,NA,"1598190565933600768",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dede_tombra",36,TRUE,FALSE,NA,NA
"RT @LilMoGh: If Argentina score again or Mexico score Again, Poland won’t qualify",FALSE,0,NA,2022-12-01 05:41:37,FALSE,NA,"1598190563118829568",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BigFredoe",48,TRUE,FALSE,NA,NA
"RT @JosipFCB93: This conversation about ""clutchness"" is so pointless. Was it not ""clutch"" when Messi appeared out of nowhere last match in…",FALSE,0,NA,2022-12-01 05:41:34,FALSE,NA,"1598190548271042560",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","catalan_fan",40,TRUE,FALSE,NA,NA
"RT @MEXC_Global: Argentina🇦🇷 vs Poland🇵🇱 #WorldCup2022 

5ppl * $10:
🔹Follow @MEXC_Global
🔹Like, RT &amp; share with 5 friends
🔹Complete regist…",FALSE,0,NA,2022-12-01 05:41:33,FALSE,NA,"1598190545415073793",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","syidase",809,TRUE,FALSE,NA,NA
"RT @cr7raprhymes: Argentina are still winning this game easily but can we all admit Messi is the biggest bottler of all time 

😭😭😭",FALSE,0,NA,2022-12-01 05:41:33,FALSE,NA,"1598190543091154945",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ElBicho49",262,TRUE,FALSE,NA,NA
"RT @AdvoBarryRoux: In 1978, Kempes missed a penalty for Argentina in the third game, Argentina won #FIFAWorldCup 

In 1986, Maradona missed…",FALSE,0,NA,2022-12-01 05:41:32,FALSE,NA,"1598190542755885058",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LebohangPhakoe",25,TRUE,FALSE,NA,NA
"RT @MrFilipeOrlando: FIFA are doing EVERYTHING to get Argentina through but they didn't count on Messi bottling for Argentina",FALSE,0,NA,2022-12-01 05:41:31,FALSE,NA,"1598190535092887553",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","twAbhishek16",513,TRUE,FALSE,NA,NA
"&amp; argentina won today🇦🇷🇦🇷 best day evaaaa",FALSE,2,NA,2022-12-01 05:41:29,FALSE,NA,"1598190527425703937",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Gowtheeflo",0,FALSE,FALSE,NA,NA
